"id";"images";"videos";"raw_description_es";"raw_description_en";"category_es";"category_en";"model";"material_es";"material_en";"sizes_mm";"sizes_inches";"stones_es";"stones_en";"tags";"date";"links";"web_ready";"slug"
"PROD-022";"IMG-20260205-WA0043.jpg";"VID-20260206-WA0076.mp4 | VID-20260206-WA0077.mp4 | VID-20260206-WA0078.mp4 | VID-20260206-WA0076.mp4 | VID-20260206-WA0079.mp4 | VID-20260206-WA0080.mp4";"Anillo de compromiso personalizado";"";"Anillos";"Rings";"";"";"";"";"";"";"";"Anillos";"5/2/2026";"";"TRUE";"anillos-22"
"PROD-023";"IMG-20260206-WA0000.jpg | IMG-20260206-WA0001.jpg";"";"Fotos en dijes";"";"Dijes";"Pendants";"";"";"";"";"";"";"";"Dijes";"5/2/2026";"";"TRUE";"dijes-23"
"PROD-024";"IMG-20260206-WA0002.jpg | IMG-20260206-WA0003.jpg | IMG-20260206-WA0004.jpg | IMG-20260206-WA0005.jpg | IMG-20260206-WA0006.jpg | IMG-20260206-WA0007.jpg | IMG-20260206-WA0008.jpg | IMG-20260206-WA0009.jpg | IMG-20260206-WA0010.jpg | IMG-20260206-WA0012.jpg | IMG-20260206-WA0013.jpg | IMG-20260206-WA0014.jpg | IMG-20260206-WA0015.jpg | IMG-20260206-WA0016.jpg | IMG-20260206-WA0017.jpg | IMG-20260206-WA0018.jpg | IMG-20260206-WA0019.jpg | IMG-20260206-WA0020.jpg | IMG-20260206-WA0021.jpg | IMG-20260206-WA0022.jpg";"VID-20260206-WA0011.mp4 | VID-20260206-WA0081.mp4";"Manillas Cuban link";"";"Cadenas";"Chains";"Cuban Link";"";"";"";"";"";"";"Cuban Link, Cadenas";"5/2/2026";"";"TRUE";"cadenas-cuban-link-24"
"PROD-025";"IMG-20260206-WA0023.jpg | IMG-20260206-WA0024.jpg | IMG-20260206-WA0025.jpg | IMG-20260206-WA0026.jpg | IMG-20260206-WA0027.jpg | IMG-20260206-WA0028.jpg | IMG-20260206-WA0029.jpg | IMG-20260206-WA0030.jpg | IMG-20260206-WA0031.jpg | IMG-20260206-WA0032.jpg | IMG-20260206-WA0033.jpg | IMG-20260206-WA0034.jpg | IMG-20260206-WA0035.jpg | IMG-20260206-WA0036.jpg | IMG-20260206-WA0037.jpg | IMG-20260206-WA0038.jpg | IMG-20260206-WA0039.jpg | IMG-20260206-WA0040.jpg | IMG-20260206-WA0041.jpg | IMG-20260206-WA0042.jpg | IMG-20260206-WA0040.jpg | IMG-20260206-WA0041.jpg | IMG-20260206-WA0042.jpg | IMG-20260206-WA0040.jpg | IMG-20260206-WA0041.jpg | IMG-20260206-WA0042.jpg | IMG-20260206-WA0043.jpg | IMG-20260206-WA0044.jpg";"";"Además Rolo 4-6 mm 20-22 pulgadas";"";"Cadenas";"Chains";"Rolo";"";"";"4-6";"20-22";"";"";"Rolo, Cadenas";"5/2/2026";"";"TRUE";"cadenas-rolo-25"
"PROD-026";"IMG-20260206-WA0045.jpg | IMG-20260206-WA0046.jpg | IMG-20260206-WA0047.jpg";"";"Aretes Pegasus de mujer";"";"Aretes";"Earrings";"Pegasus";"";"";"";"";"";"";"Pegasus, Aretes";"5/2/2026";"";"TRUE";"aretes-pegasus-26"
"PROD-027";"IMG-20260206-WA0048.jpg";"";"Pulsos con piedras y oro";"";"Pulseras";"Bracelets";"";"Oro";"Gold";"";"";"";"";"Pulseras, Oro";"5/2/2026";"";"TRUE";"pulseras-27"
"PROD-028";"IMG-20260206-WA0049.jpg | IMG-20260206-WA0050.jpg | IMG-20260206-WA0051.jpg | IMG-20260206-WA0052.jpg | IMG-20260206-WA0053.jpg | IMG-20260206-WA0054.jpg | IMG-20260206-WA0055.jpg | IMG-20260206-WA0062.jpg | IMG-20260206-WA0056.jpg | IMG-20260206-WA0057.jpg | IMG-20260206-WA0058.jpg | IMG-20260206-WA0059.jpg | IMG-20260206-WA0060.jpg | IMG-20260206-WA0061.jpg | IMG-20260206-WA0063.jpg | IMG-20260206-WA0064.jpg | IMG-20260206-WA0065.jpg | IMG-20260206-WA0066.jpg | IMG-20260206-WA0067.jpg | IMG-20260206-WA0068.jpg | IMG-20260206-WA0069.jpg | IMG-20260206-WA0070.jpg | IMG-20260206-WA0071.jpg | IMG-20260206-WA0072.jpg | IMG-20260206-WA0073.jpg | IMG-20260206-WA0074.jpg";"";"Tiffany y modelo militar";"";"Cadenas";"Chains";"Tiffany, Militar";"";"";"";"";"";"";"Tiffany, Militar, Cadenas";"5/2/2026";"https://www.instagram.com/reel/DOy6Q04joMZ/?igsh=MTJtdmNlemJnMDZtOA==";"TRUE";"cadenas-tiffany-militar-28"
"PROD-029";"IMG-20260206-WA0084.jpg";"";"Pulsos cartier y clavos cartier";"";"Pulseras";"Bracelets";"Cartier";"";"";"";"";"";"";"Cartier, Pulseras";"5/2/2026";"";"TRUE";"pulseras-cartier-29"
"PROD-030";"IMG-20260206-WA0083.jpg";"";"Modelo chino";"";"Cadenas";"Chains";"Chino";"";"";"";"";"";"";"Chino, Cadenas";"5/2/2026";"";"TRUE";"cadenas-chino-30"
"PROD-031";"IMG-20260206-WA0082.jpg";"";"Anillo y pulso de la virgin de la Caridad";"";"Anillos";"Rings";"";"";"";"";"";"";"";"Anillos";"5/2/2026";"";"TRUE";"anillos-31"
