ID,Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Tax status,In stock?,Regular price,Categories,Tags,Images
,simple,PROD-011,Modelo de Cadena ice 3mm segmentado  en Oro blanco 24 pulgadas,1,0,visible,Modelo de Cadena ice 3mm segmentado  en Oro blanco 24 pulgadas,"<p><strong>ES:</strong> Modelo de Cadena ice 3mm segmentado  en Oro blanco 24 pulgadas</p>
<ul><li><strong>Material:</strong> Oro Blanco, Oro</li><li><strong>Grosor:</strong> 3 mm</li><li><strong>Largo:</strong> 24 pulgadas</li></ul>",taxable,1,,Cadenas > Chains,"Cadenas, Oro Blanco, Oro",images/full\cadenas-11-01.jpg
,simple,PROD-012,Rocetas de hombres differentes Modelos solids y semisolidos todos los size,1,0,visible,Rocetas de hombres differentes Modelos solids y semisolidos todos los size,<p><strong>ES:</strong> Rocetas de hombres differentes Modelos solids y semisolidos todos los size</p>,taxable,1,,Aretes > Earrings,Aretes,images/full\aretes-12-01.jpg
,simple,PROD-013,"Differences tipos de pulsos de mujer de Izquierdo’s a derecha Monaco clover, Monaco con cabeza de pantera, 3 pulsos d...",1,0,visible,"Differences tipos de pulsos de mujer de Izquierdo’s a derecha Monaco clover, Monaco con cabeza de pantera, 3 pulsos de la mano de orula igde cartier y Versace, para quince añera,pepper , dos manillas ","<p><strong>ES:</strong> Differences tipos de pulsos de mujer de Izquierdo’s a derecha Monaco clover, Monaco con cabeza de pantera, 3 pulsos de la mano de orula igde cartier y Versace, para quince añera,pepper , dos manillas de ovens con chapa ( se personalizab) ponen nombre</p>
<ul><li><strong>Modelo:</strong> Clover, Monaco, Pepper, Cartier, Versace</li></ul>",taxable,1,,Pulseras > Bracelets,"Clover, Monaco, Pepper, Cartier, Versace, Pulseras",images/full\pulseras-clover-monaco-pepper-cartier-versace-13-01.jpg
,simple,PROD-014,Cardenas de iniciales 18-20 pulgadas,1,0,visible,Cardenas de iniciales 18-20 pulgadas,"<p><strong>ES:</strong> Cardenas de iniciales 18-20 pulgadas</p>
<ul><li><strong>Largo:</strong> 18-20 pulgadas</li></ul>",taxable,1,,Cadenas > Chains,Cadenas,images/full\cadenas-14-01.jpg
,simple,PROD-015,Modelo de Cadena Tenis en zirconia con su pulso,1,0,visible,Modelo de Cadena Tenis en zirconia con su pulso,"<p><strong>ES:</strong> Modelo de Cadena Tenis en zirconia con su pulso</p>
<ul><li><strong>Modelo:</strong> Tenis</li><li><strong>Material:</strong> Zirconia</li></ul>",taxable,1,,Cadenas > Chains,"Tenis, Cadenas, Zirconia",images/full\cadenas-tenis-15-01.jpg
,simple,PROD-016,Modelo Torzal o soga 3-4-5mmde todos los size,1,0,visible,Modelo Torzal o soga 3-4-5mmde todos los size,"<p><strong>ES:</strong> Modelo Torzal o soga 3-4-5mmde todos los size</p>
<ul><li><strong>Modelo:</strong> Torzal</li><li><strong>Grosor:</strong> 3-4-5 mm</li></ul>",taxable,1,,Cadenas > Chains,"Torzal, Cadenas",images/full\cadenas-torzal-16-01.jpg
,simple,PROD-017,Modelo Cuban link en Oro 10 14 k de todos los mm a partir de 2 mm hasta 12 mm size 16-24,1,0,visible,Modelo Cuban link en Oro 10 14 k de todos los mm a partir de 2 mm hasta 12 mm size 16-24,"<p><strong>ES:</strong> Modelo Cuban link en Oro 10 14 k de todos los mm a partir de 2 mm hasta 12 mm size 16-24</p>
<ul><li><strong>Modelo:</strong> Cuban Link</li><li><strong>Material:</strong> Oro 10K, Oro 14K, Oro</li><li><strong>Grosor:</strong> 2, 12 mm</li></ul>",taxable,1,,Cadenas > Chains,"Cuban Link, Cadenas, Oro 10K, Oro 14K, Oro",images/full\cadenas-cuban-link-17-01.jpg
,simple,PROD-018,Differences tipos de gargantillas 18 pulgadas,1,0,visible,Differences tipos de gargantillas 18 pulgadas,"<p><strong>ES:</strong> Differences tipos de gargantillas 18 pulgadas</p>
<ul><li><strong>Largo:</strong> 18 pulgadas</li></ul>",taxable,1,,Gargantillas > Chokers,Gargantillas,"images/full\gargantillas-18-01.jpg, images/full\gargantillas-18-02.jpg"
,simple,PROD-019,Gargantilla de pines b,1,0,visible,Gargantilla de pines b,<p><strong>ES:</strong> Gargantilla de pines b</p>,taxable,1,,Gargantillas > Chokers,Gargantillas,images/full\gargantillas-19-01.jpg
,simple,PROD-020,Dijes en diamantes naturals,1,0,visible,Dijes en diamantes naturals,"<p><strong>ES:</strong> Dijes en diamantes naturals</p>
<ul><li><strong>Material:</strong> Diamantes Naturales, Diamante</li></ul>",taxable,1,,Dijes > Pendants,"Dijes, Diamantes Naturales, Diamante",images/full\dijes-20-01.jpg
,simple,PROD-021,Cadena still Tenis en diamantes naturals,1,0,visible,Cadena still Tenis en diamantes naturals,"<p><strong>ES:</strong> Cadena still Tenis en diamantes naturals</p>
<ul><li><strong>Modelo:</strong> Tenis</li><li><strong>Material:</strong> Diamantes Naturales, Diamante</li></ul>",taxable,1,,Cadenas > Chains,"Tenis, Cadenas, Diamantes Naturales, Diamante","images/full\cadenas-tenis-21-01.jpg, images/full\cadenas-tenis-21-02.jpg, images/full\cadenas-tenis-21-03.jpg, images/full\cadenas-tenis-21-04.jpg, images/full\cadenas-tenis-21-05.jpg, images/full\cadenas-tenis-21-06.jpg"
,simple,PROD-022,Anillo de compromiso personalizado,1,0,visible,Anillo de compromiso personalizado,<p><strong>ES:</strong> Anillo de compromiso personalizado</p>,taxable,1,,Anillos > Rings,Anillos,images/full\anillos-22-01.jpg
,simple,PROD-023,Fotos en dijes,1,0,visible,Fotos en dijes,<p><strong>ES:</strong> Fotos en dijes</p>,taxable,1,,Dijes > Pendants,Dijes,"images/full\dijes-23-01.jpg, images/full\dijes-23-02.jpg"
,simple,PROD-024,Manillas Cuban link,1,0,visible,Manillas Cuban link,"<p><strong>ES:</strong> Manillas Cuban link</p>
<ul><li><strong>Modelo:</strong> Cuban Link</li></ul>",taxable,1,,Cadenas > Chains,"Cuban Link, Cadenas","images/full\cadenas-cuban-link-24-01.jpg, images/full\cadenas-cuban-link-24-02.jpg, images/full\cadenas-cuban-link-24-03.jpg, images/full\cadenas-cuban-link-24-04.jpg, images/full\cadenas-cuban-link-24-05.jpg, images/full\cadenas-cuban-link-24-06.jpg, images/full\cadenas-cuban-link-24-07.jpg, images/full\cadenas-cuban-link-24-08.jpg, images/full\cadenas-cuban-link-24-09.jpg, images/full\cadenas-cuban-link-24-10.jpg, images/full\cadenas-cuban-link-24-11.jpg, images/full\cadenas-cuban-link-24-12.jpg, images/full\cadenas-cuban-link-24-13.jpg, images/full\cadenas-cuban-link-24-14.jpg, images/full\cadenas-cuban-link-24-15.jpg, images/full\cadenas-cuban-link-24-16.jpg, images/full\cadenas-cuban-link-24-17.jpg, images/full\cadenas-cuban-link-24-18.jpg, images/full\cadenas-cuban-link-24-19.jpg, images/full\cadenas-cuban-link-24-20.jpg"
,simple,PROD-025,Además Rolo 4-6 mm 20-22 pulgadas,1,0,visible,Además Rolo 4-6 mm 20-22 pulgadas,"<p><strong>ES:</strong> Además Rolo 4-6 mm 20-22 pulgadas</p>
<ul><li><strong>Modelo:</strong> Rolo</li><li><strong>Grosor:</strong> 4-6 mm</li><li><strong>Largo:</strong> 20-22 pulgadas</li></ul>",taxable,1,,Cadenas > Chains,"Rolo, Cadenas","images/full\cadenas-rolo-25-01.jpg, images/full\cadenas-rolo-25-02.jpg, images/full\cadenas-rolo-25-03.jpg, images/full\cadenas-rolo-25-04.jpg, images/full\cadenas-rolo-25-05.jpg, images/full\cadenas-rolo-25-06.jpg, images/full\cadenas-rolo-25-07.jpg, images/full\cadenas-rolo-25-08.jpg, images/full\cadenas-rolo-25-09.jpg, images/full\cadenas-rolo-25-10.jpg, images/full\cadenas-rolo-25-11.jpg, images/full\cadenas-rolo-25-12.jpg, images/full\cadenas-rolo-25-13.jpg, images/full\cadenas-rolo-25-14.jpg, images/full\cadenas-rolo-25-15.jpg, images/full\cadenas-rolo-25-16.jpg, images/full\cadenas-rolo-25-17.jpg, images/full\cadenas-rolo-25-18.jpg, images/full\cadenas-rolo-25-19.jpg, images/full\cadenas-rolo-25-20.jpg, images/full\cadenas-rolo-25-18.jpg, images/full\cadenas-rolo-25-19.jpg, images/full\cadenas-rolo-25-20.jpg, images/full\cadenas-rolo-25-18.jpg, images/full\cadenas-rolo-25-19.jpg, images/full\cadenas-rolo-25-20.jpg, images/full\cadenas-rolo-25-27.jpg, images/full\cadenas-rolo-25-28.jpg"
,simple,PROD-026,Aretes Pegasus de mujer,1,0,visible,Aretes Pegasus de mujer,"<p><strong>ES:</strong> Aretes Pegasus de mujer</p>
<ul><li><strong>Modelo:</strong> Pegasus</li></ul>",taxable,1,,Aretes > Earrings,"Pegasus, Aretes","images/full\aretes-pegasus-26-01.jpg, images/full\aretes-pegasus-26-02.jpg, images/full\aretes-pegasus-26-03.jpg"
,simple,PROD-027,Pulsos con piedras y oro,1,0,visible,Pulsos con piedras y oro,"<p><strong>ES:</strong> Pulsos con piedras y oro</p>
<ul><li><strong>Material:</strong> Oro</li></ul>",taxable,1,,Pulseras > Bracelets,"Pulseras, Oro",images/full\pulseras-27-01.jpg
,simple,PROD-028,Tiffany y modelo militar,1,0,visible,Tiffany y modelo militar,"<p><strong>ES:</strong> Tiffany y modelo militar</p>
<ul><li><strong>Modelo:</strong> Tiffany, Militar</li></ul>",taxable,1,,Cadenas > Chains,"Tiffany, Militar, Cadenas","images/full\cadenas-tiffany-militar-28-01.jpg, images/full\cadenas-tiffany-militar-28-02.jpg, images/full\cadenas-tiffany-militar-28-03.jpg, images/full\cadenas-tiffany-militar-28-04.jpg, images/full\cadenas-tiffany-militar-28-05.jpg, images/full\cadenas-tiffany-militar-28-06.jpg, images/full\cadenas-tiffany-militar-28-07.jpg, images/full\cadenas-tiffany-militar-28-08.jpg, images/full\cadenas-tiffany-militar-28-09.jpg, images/full\cadenas-tiffany-militar-28-10.jpg, images/full\cadenas-tiffany-militar-28-11.jpg, images/full\cadenas-tiffany-militar-28-12.jpg, images/full\cadenas-tiffany-militar-28-13.jpg, images/full\cadenas-tiffany-militar-28-14.jpg, images/full\cadenas-tiffany-militar-28-15.jpg, images/full\cadenas-tiffany-militar-28-16.jpg, images/full\cadenas-tiffany-militar-28-17.jpg, images/full\cadenas-tiffany-militar-28-18.jpg, images/full\cadenas-tiffany-militar-28-19.jpg, images/full\cadenas-tiffany-militar-28-20.jpg, images/full\cadenas-tiffany-militar-28-21.jpg, images/full\cadenas-tiffany-militar-28-22.jpg, images/full\cadenas-tiffany-militar-28-23.jpg, images/full\cadenas-tiffany-militar-28-24.jpg, images/full\cadenas-tiffany-militar-28-25.jpg, images/full\cadenas-tiffany-militar-28-26.jpg"
,simple,PROD-029,Pulsos cartier y clavos cartier,1,0,visible,Pulsos cartier y clavos cartier,"<p><strong>ES:</strong> Pulsos cartier y clavos cartier</p>
<ul><li><strong>Modelo:</strong> Cartier</li></ul>",taxable,1,,Pulseras > Bracelets,"Cartier, Pulseras",images/full\pulseras-cartier-29-01.jpg
,simple,PROD-030,Modelo chino,1,0,visible,Modelo chino,"<p><strong>ES:</strong> Modelo chino</p>
<ul><li><strong>Modelo:</strong> Chino</li></ul>",taxable,1,,Cadenas > Chains,"Chino, Cadenas",images/full\cadenas-chino-30-01.jpg
,simple,PROD-031,Anillo y pulso de la virgin de la Caridad,1,0,visible,Anillo y pulso de la virgin de la Caridad,<p><strong>ES:</strong> Anillo y pulso de la virgin de la Caridad</p>,taxable,1,,Anillos > Rings,Anillos,images/full\anillos-31-01.jpg
